Vessel Name	Sale Price ($US M)	Sale_Years	Weight	Capesize	Predicted Price ($ US M)
Lowlands Beilun	73	13	165.3	5245	61.9176
CHS Moon	45	6	170.1	5752	
Spring Brave	62	4	173.9	10526	
Martha Verity	60	11	170	6201	
TMT TBN	61.3	6	172.5	6980	
Pantelis SP	83	6	172.6	9663	
Amazon	45	11	171.1	9663	
Cape Kassos	100	13	149.8	5752	
Johnny K	65	6	170.1	5752	
Zorbas	70	22	139.8	5752	
Americana	33	14	174.7	4647	
Martha Verity	63	9	171.7	11193	
Ullswater	43	8	169.9	4878	
Formosabulk Brave	95	12	149.2	8886	
Formosabulk Clement	95	12	151.1	4647	
Nautical Dream	63.5	3	170	5245	
Formosabulk Allstart	67	12	150.4	5752	
Arimathian	62	5	164.2	8181	
Boss	31	14	149.5	9663	
Zorbas II	86	4	170	11614	
Fertilia	50.5	13	149.3	6618	
Ingenious	64.2	12	158	4647	
Anangel Dawn	67	12	158	5245	
Orient Fortune	28	17	123.5	5245	
Great Moon	30	17	149.5	4878	
Gran Trader	105	23	164.5	8886	
Cape Brazil	22	24	150.7	9663	
Thalassini Kyra	133	26	137	11193	
Tiger Lily	90	23	161.4	6618	
Dong-A-Helios	47	15	148.2	9663	
Marine Hunter	45	8	170.2	4647	
Peace Glory	57	20	135	10844	
Sumihou	106	18	145.4	12479	
Gran Trader	152	11	165.1	5245	
Netadola	97	11	174.5	6201	
Nordstar	38	10	172.6	6201	
Captain Vangelis L	87.5	15	161.5	12479	
Voutakos	78	19	207.1	11193	
Sachuest	35	20	188.3	10299	
Sinfonia	83.7	20	149	5245	
Jin Tai	155	21	98.4	10299	
Dias	58	17	184.4	10526	
Desimi	83	26	140.8	7441	
Samos	25	23	166.1	8886	
Cape Sun	135	13	151.4	5752	
Nightflight	158	21	146.9	8886	
Cape Falcon	87.2	16	150.2	4647	
Castle Peak	82	23	146	6980	
